transaction_id,transaction_date,customer_id,customer_name,product_id,product_name,product_category,region,state,sales_channel,quantity,unit_price,discount,sales_amount,cost,profit,payment_method
1000001,2025-01-01,12385,Customer 12385,P1008,Cookware Set,Home & Kitchen,Southwest,Nevada,Store,2,129.99,0.2,207.98,144.0,63.98,Debit Card
1000002,2026-03-29,11130,Customer 11130,P1014,Electric Kettle,Home & Kitchen,Midwest,Indiana,Store,1,44.99,0.2,35.99,23.0,12.99,PayPal
1000003,2025-03-05,14573,Customer 14573,P1018,Camping Tent,Sports & Outdoors,West,Washington,Mobile App,2,179.99,0.05,341.98,192.0,149.98,Debit Card
1000004,2026-02-05,11147,Customer 11147,P1018,Smart Watch,Electronics,Southwest,Nevada,Online,2,149.99,0.0,299.98,172.0,127.98,Debit Card
1000005,2025-01-10,10603,Customer 10603,P1023,Wireless Headphones,Electronics,Northeast,Connecticut,Online,2,79.99,0.1,143.98,84.0,59.98,Mobile Pay
1000006,2026-04-18,12705,Customer 12705,P1010,Cookware Set,Home & Kitchen,West,California,Store,4,129.99,0.1,467.96,288.0,179.96,Mobile Pay
1000007,2025-05-17,14544,Customer 14544,P1021,Portable Charger,Electronics,Southwest,Texas,Store,1,34.99,0.15,29.74,17.5,12.24,Credit Card
1000008,2026-06-02,11128,Customer 11128,P1008,Hoodie,Clothing,Southwest,Arizona,Store,2,54.99,0.15,93.48,50.0,43.48,Cash
1000009,2025-09-15,14462,Customer 14462,P1010,Coffee Maker,Home & Kitchen,Northeast,New Jersey,Online,1,89.99,0.0,89.99,48.0,41.99,Credit Card
1000010,2025-11-05,11137,Customer 11137,P1011,Jeans,Clothing,Midwest,Michigan,Store,1,69.99,0.1,62.99,32.0,30.99,PayPal
1000011,2025-09-18,14606,Customer 14606,P1012,Jeans,Clothing,Southeast,Georgia,Mobile App,1,69.99,0.05,66.49,32.0,34.49,Debit Card
1000012,2026-02-11,12128,Customer 12128,P1013,Mechanical Keyboard,Office,West,Oregon,Online,2,99.99,0.2,159.98,102.0,57.98,Cash
1000013,2025-04-29,12015,Customer 12015,P1018,Hoodie,Clothing,Southwest,New Mexico,Online,3,54.99,0.05,156.72,75.0,81.72,PayPal
1000014,2025-09-25,13942,Customer 13942,P1003,Smart Watch,Electronics,West,Colorado,Mobile App,3,149.99,0.0,449.97,258.0,191.97,Cash
1000015,2025-05-15,12440,Customer 12440,P1020,Mechanical Keyboard,Office,Midwest,Illinois,Online,1,99.99,0.05,94.99,51.0,43.99,PayPal
1000016,2026-03-06,11398,Customer 11398,P1014,Office Chair,Office,Southeast,Georgia,Online,2,229.99,0.0,459.98,270.0,189.98,Mobile Pay
1000017,2026-04-14,11888,Customer 11888,P1022,Cookware Set,Home & Kitchen,Midwest,Ohio,Store,2,129.99,0.0,259.98,144.0,115.98,Debit Card
1000018,2025-10-21,11258,Customer 11258,P1024,Portable Charger,Electronics,Northeast,New Jersey,Store,2,34.99,0.2,55.98,35.0,20.98,PayPal
1000019,2025-12-07,12240,Customer 12240,P1005,Office Chair,Office,West,California,Online,1,229.99,0.1,206.99,135.0,71.99,Cash
1000020,2026-02-07,12514,Customer 12514,P1025,Office Chair,Office,Midwest,Illinois,Store,2,229.99,0.0,459.98,270.0,189.98,PayPal
1000021,2025-08-10,13432,Customer 13432,P1006,Jeans,Clothing,Southwest,New Mexico,Store,2,69.99,0.05,132.98,64.0,68.98,Cash
1000022,2025-05-31,11764,Customer 11764,P1014,USB-C Hub,Electronics,Southeast,Georgia,Online,4,39.99,0.0,159.96,76.0,83.96,Mobile Pay
1000023,2026-06-02,11341,Customer 11341,P1007,Wireless Headphones,Electronics,West,Oregon,Online,2,79.99,0.15,135.98,84.0,51.98,Mobile Pay
1000024,2026-01-11,14905,Customer 14905,P1023,Water Bottle,Sports & Outdoors,West,Utah,Store,2,24.99,0.1,44.98,19.0,25.98,PayPal
1000025,2025-01-14,14118,Customer 14118,P1019,Smart Watch,Electronics,Southwest,Oklahoma,Mobile App,1,149.99,0.0,149.99,86.0,63.99,Cash
1000026,2025-11-12,14033,Customer 14033,P1016,Yoga Mat,Sports & Outdoors,Southeast,Virginia,Online,1,34.99,0.0,34.99,15.0,19.99,Mobile Pay
1000027,2025-09-02,11779,Customer 11779,P1001,Jeans,Clothing,Midwest,Indiana,Online,4,69.99,0.15,237.97,128.0,109.97,Credit Card
1000028,2025-05-17,11959,Customer 11959,P1001,Mechanical Keyboard,Office,Northeast,Massachusetts,Mobile App,2,99.99,0.2,159.98,102.0,57.98,Debit Card
1000029,2026-03-07,13378,Customer 13378,P1015,Coffee Maker,Home & Kitchen,Northeast,Pennsylvania,Mobile App,2,89.99,0.2,143.98,96.0,47.98,Debit Card
1000030,2026-01-10,10599,Customer 10599,P1013,Camping Tent,Sports & Outdoors,Southwest,Texas,Online,5,179.99,0.0,899.95,480.0,419.95,Credit Card
1000031,2025-09-11,14843,Customer 14843,P1021,Dumbbell Set,Sports & Outdoors,Southwest,Texas,Mobile App,1,89.99,0.05,85.49,49.0,36.49,Credit Card
1000032,2025-07-22,11090,Customer 11090,P1012,T-Shirt,Clothing,West,Washington,Store,2,24.99,0.0,49.98,20.0,29.98,Debit Card
1000033,2025-05-02,11167,Customer 11167,P1023,Running Shoes,Clothing,Southeast,South Carolina,Mobile App,1,109.99,0.2,87.99,58.0,29.99,Credit Card
1000034,2025-12-10,13917,Customer 13917,P1017,Monitor Stand,Office,Southeast,Georgia,Online,1,64.99,0.05,61.74,31.0,30.74,Credit Card
1000035,2026-04-12,11391,Customer 11391,P1025,Portable Charger,Electronics,Midwest,Michigan,Mobile App,1,34.99,0.2,27.99,17.5,10.49,Debit Card
1000036,2025-12-26,12285,Customer 12285,P1006,Camping Tent,Sports & Outdoors,Southeast,Virginia,Online,3,179.99,0.05,512.97,288.0,224.97,Credit Card
1000037,2025-01-07,14739,Customer 14739,P1007,Wireless Headphones,Electronics,Northeast,Pennsylvania,Online,2,79.99,0.0,159.98,84.0,75.98,Credit Card
1000038,2026-01-02,10977,Customer 10977,P1020,Monitor Stand,Office,Midwest,Indiana,Mobile App,1,64.99,0.05,61.74,31.0,30.74,Credit Card
1000039,2025-08-27,10535,Customer 10535,P1019,Blender,Home & Kitchen,Southeast,North Carolina,Store,1,69.99,0.25,52.49,36.0,16.49,Credit Card
1000040,2026-01-09,13125,Customer 13125,P1008,Running Shoes,Clothing,Southwest,Oklahoma,Online,3,109.99,0.15,280.47,174.0,106.47,Credit Card
1000041,2025-07-27,10174,Customer 10174,P1016,Hoodie,Clothing,Midwest,Wisconsin,Mobile App,1,54.99,0.05,52.24,25.0,27.24,Credit Card
1000042,2025-08-16,13198,Customer 13198,P1010,Desk Lamp,Office,West,Utah,Mobile App,2,49.99,0.0,99.98,48.0,51.98,Credit Card
1000043,2025-09-04,11214,Customer 11214,P1006,USB-C Hub,Electronics,Southwest,Arizona,Online,1,39.99,0.0,39.99,19.0,20.99,Mobile Pay
1000044,2025-12-08,11647,Customer 11647,P1007,Blender,Home & Kitchen,Southeast,South Carolina,Online,2,69.99,0.0,139.98,72.0,67.98,Debit Card
1000045,2026-04-05,11951,Customer 11951,P1008,Wireless Headphones,Electronics,West,Washington,Store,2,79.99,0.0,159.98,84.0,75.98,Mobile Pay
1000046,2026-05-11,10721,Customer 10721,P1006,Hiking Backpack,Sports & Outdoors,West,Washington,Online,4,99.99,0.05,379.96,204.0,175.96,Credit Card
1000047,2025-04-07,14505,Customer 14505,P1009,Bluetooth Speaker,Electronics,Southeast,Virginia,Store,1,59.99,0.1,53.99,31.0,22.99,Credit Card
1000048,2025-02-07,12820,Customer 12820,P1025,Yoga Mat,Sports & Outdoors,Southeast,North Carolina,Online,2,34.99,0.0,69.98,30.0,39.98,Credit Card
1000049,2026-03-31,11770,Customer 11770,P1006,USB-C Hub,Electronics,Southwest,Arizona,Store,1,39.99,0.25,29.99,19.0,10.99,Credit Card
1000050,2026-03-04,12819,Customer 12819,P1021,Hiking Backpack,Sports & Outdoors,Northeast,Connecticut,Mobile App,1,99.99,0.05,94.99,51.0,43.99,Mobile Pay
1000051,2025-06-01,11604,Customer 11604,P1012,Monitor Stand,Office,Southeast,Florida,Store,1,64.99,0.1,58.49,31.0,27.49,Mobile Pay
1000052,2025-03-12,12285,Customer 12285,P1011,Hoodie,Clothing,Northeast,Pennsylvania,Online,4,54.99,0.05,208.96,100.0,108.96,Debit Card
1000053,2025-03-10,10718,Customer 10718,P1022,Desk Lamp,Office,Southwest,Arizona,Mobile App,3,49.99,0.15,127.47,72.0,55.47,Credit Card
1000054,2025-09-12,14850,Customer 14850,P1018,Running Shoes,Clothing,Southwest,Arizona,Store,1,109.99,0.2,87.99,58.0,29.99,Credit Card
1000055,2025-06-04,13893,Customer 13893,P1015,Jeans,Clothing,Southwest,Texas,Online,2,69.99,0.15,118.98,64.0,54.98,Credit Card
1000056,2025-03-31,11603,Customer 11603,P1004,Electric Kettle,Home & Kitchen,Southwest,Texas,Mobile App,1,44.99,0.05,42.74,23.0,19.74,Credit Card
1000057,2026-03-20,12732,Customer 12732,P1001,Yoga Mat,Sports & Outdoors,Midwest,Wisconsin,Online,3,34.99,0.2,83.98,45.0,38.98,Credit Card
1000058,2026-03-04,12515,Customer 12515,P1003,Wireless Mouse,Office,Midwest,Indiana,Store,5,39.99,0.05,189.95,90.0,99.95,Credit Card
1000059,2025-10-17,10305,Customer 10305,P1024,Smart Watch,Electronics,Northeast,New Jersey,Mobile App,4,149.99,0.0,599.96,344.0,255.96,Mobile Pay
1000060,2025-01-21,13177,Customer 13177,P1004,Blender,Home & Kitchen,Northeast,Pennsylvania,Mobile App,2,69.99,0.0,139.98,72.0,67.98,Debit Card
1000061,2025-03-18,12595,Customer 12595,P1010,Monitor Stand,Office,Southwest,Nevada,Online,1,64.99,0.2,51.99,31.0,20.99,Mobile Pay
1000062,2026-01-18,13453,Customer 13453,P1007,Hiking Backpack,Sports & Outdoors,Midwest,Illinois,Store,1,99.99,0.2,79.99,51.0,28.99,Cash
1000063,2025-07-24,11223,Customer 11223,P1001,Hoodie,Clothing,Midwest,Wisconsin,Online,1,54.99,0.2,43.99,25.0,18.99,PayPal
1000064,2025-08-08,14227,Customer 14227,P1020,Blender,Home & Kitchen,Southwest,New Mexico,Store,1,69.99,0.1,62.99,36.0,26.99,Debit Card
1000065,2026-03-21,13697,Customer 13697,P1019,Jacket,Clothing,Midwest,Ohio,Online,1,119.99,0.1,107.99,63.0,44.99,Credit Card
1000066,2025-05-25,11105,Customer 11105,P1009,Wireless Headphones,Electronics,Midwest,Indiana,Online,2,79.99,0.15,135.98,84.0,51.98,Credit Card
1000067,2026-06-19,12817,Customer 12817,P1009,Blender,Home & Kitchen,Midwest,Michigan,Online,1,69.99,0.05,66.49,36.0,30.49,Credit Card
1000068,2026-06-09,14312,Customer 14312,P1014,Jeans,Clothing,Southeast,Virginia,Store,2,69.99,0.1,125.98,64.0,61.98,Mobile Pay
1000069,2025-11-22,10145,Customer 10145,P1007,Wireless Headphones,Electronics,Northeast,New Jersey,Mobile App,3,79.99,0.2,191.98,126.0,65.98,Credit Card
1000070,2025-06-09,10507,Customer 10507,P1021,Electric Kettle,Home & Kitchen,Midwest,Indiana,Store,2,44.99,0.0,89.98,46.0,43.98,Debit Card
1000071,2026-06-24,14115,Customer 14115,P1022,Bluetooth Speaker,Electronics,Southeast,Florida,Online,4,59.99,0.1,215.96,124.0,91.96,Credit Card
1000072,2025-04-26,10325,Customer 10325,P1025,Bluetooth Speaker,Electronics,Southeast,Georgia,Online,3,59.99,0.05,170.97,93.0,77.97,PayPal
1000073,2026-04-18,11814,Customer 11814,P1018,Wireless Headphones,Electronics,West,Washington,Mobile App,1,79.99,0.1,71.99,42.0,29.99,Mobile Pay
1000074,2025-08-24,14356,Customer 14356,P1025,Wireless Headphones,Electronics,Southeast,Georgia,Store,3,79.99,0.2,191.98,126.0,65.98,PayPal
1000075,2026-04-15,13847,Customer 13847,P1003,Office Chair,Office,Northeast,Connecticut,Store,3,229.99,0.15,586.47,405.0,181.47,Credit Card
1000076,2025-06-15,11626,Customer 11626,P1012,Hiking Backpack,Sports & Outdoors,Southeast,Virginia,Online,1,99.99,0.05,94.99,51.0,43.99,Credit Card
1000077,2026-01-26,12908,Customer 12908,P1017,Bluetooth Speaker,Electronics,Southeast,South Carolina,Online,2,59.99,0.1,107.98,62.0,45.98,PayPal
1000078,2026-02-02,13982,Customer 13982,P1004,Camping Tent,Sports & Outdoors,Southwest,Texas,Store,1,179.99,0.1,161.99,96.0,65.99,Debit Card
1000079,2025-07-23,11994,Customer 11994,P1007,Jacket,Clothing,Midwest,Illinois,Mobile App,1,119.99,0.0,119.99,63.0,56.99,PayPal
1000080,2025-01-17,13871,Customer 13871,P1023,Bluetooth Speaker,Electronics,Southwest,Arizona,Store,4,59.99,0.05,227.96,124.0,103.96,Credit Card
